tutorial_id,course_id,tutorial_title,,
1,1,Taksonomi AI,,
2,1,[Story] Machine Learning: Harapan menjadi kenyataan,,
3,1,Rangkuman Kelas,,
4,1,Tipe-Tipe Machine Learning,,
5,1,Forum Diskusi,,
6,1,Kriteria Data untuk AI,,
7,1,Latihan Membuat Model Deep Learning,,
8,1,AI Workflow,,
9,1,Rangkuman Pengantar Machine Learning,,
10,1,Ujian Akhir,,
11,1,Machine Learning Workflow,,
12,1,Glosarium,,
13,1,[Story] Apa yang Diperlukan untuk Membuat AI?,,
14,1,Persetujuan Hak Cipta,,
15,1,Proses di Balik Deep Learning,,
16,1,[Story] Belajar Mempermudah Pekerjaan dengan AI,,
17,1,Kuis Pengantar Machine Learning,,
18,1,Daftar Referensi,,
19,1,Infrastruktur Data di Industri,,
20,1,Model Maintenance,,
21,1,Rangkuman Data untuk AI,,
22,1,Prasyarat Kemampuan,,
23,1,[Story] Hidup Semakin Mudah dengan Bantuan Mesin,,
24,1,Rangkuman Berkenalan dengan Artificial Intelligence (AI),,
25,1,Pengenalan Deep Learning,,
26,1,Penerapan AI dalam Dunia Nyata,,
27,1,Machine Learning di Industri,,
28,1,Rangkuman Deep Learning untuk Semua Orang,,
29,1,Kuis Data untuk AI,,
30,1,Prasyarat Tools,,
31,1,Kuis Berkenalan dengan Artificial Intelligence (AI),,
32,1,Mengenal Artificial Neural Network,,
33,1,Pengenalan AI,,
34,1,Batasan Machine Learning,,
35,1,Kuis Deep Learning untuk Semua Orang,,
36,1,Pengenalan Machine Learning,,
37,1,Mekanisme Belajar,,
38,1,Pengenalan Data,,
39,1,Gambaran Penerapan Deep Learning di Industri,,
40,2,Glossarium,,
41,2,Pra-pemrosesan Data Gambar,,
42,2,Pengantar Deep Learning,,
43,2,Proyek Klasifikasi Gambar,,
44,2,Pengenalan TensorFlow.js,,
45,2,Ekstraksi Fitur,,
46,2,Rangkuman Reinforcement Learning,,
47,2,Pengumpulan Data,,
48,2,Kuis Berkenalan dengan Time Series,,
49,2,Plot Loss dan Akurasi dari Trained Model,,
50,2,Image Generation,,
51,2,Komponen-komponen Utama RL,,
52,2,Penggunaan Batch Loading,,
53,2,Policies and Value Functions,,
54,2,Persetujuan Hak Cipta,,
55,2,"[Story] Dari Daun Tomat ke Teknologi, Kok Bisa?",,
56,2,Memonitor Model,,
57,2,Pra-pemrosesan Data untuk Model,,
58,2,Kuis Konversi Model Machine Learning,,
59,2,Latihan Membangun Sistem Rekomendasi,,
60,2,Pengenalan Convolutional Neural Network,,
61,2,Beberapa Model untuk Transfer Learning,,
62,2,Pengenalan Time Series,,
63,2,Federated Learning,,
64,2,Rangkuman Natural Language Processing (NLP) dengan Tensorflow,,
65,2,Proyek Pertama : Membuat Model NLP dengan TensorFlow,,
66,2,Daftar Referensi,,
67,2,Pembuatan Model Klasifikasi Gambar dengan CNN,,
68,2,"[Story] Komputer Memahami Bahasa Manusia, Kok Bisa?",,
69,2,Proyek Analisis Sentimen,,
70,2,Latihan: Deploy Model ML Menggunakan TensorFlow.js,,
71,2,Latihan Ekstraksi Fitur pada Teks,,
72,2,Dasar-Dasar Neural Network,,
73,2,Kuis Reinforcement Learning,,
74,2,Rangkuman Sistem Rekomendasi,,
75,2,Mencegah Overfitting dengan Dropout dan Batch Normalization,,
76,2,Text Generation,,
77,2,[Story] Bukan Sembarang Kue Lapis,,
78,2,Rangkuman Membuat dan Melatih Neural Network dengan TensorFlow dan Keras,,
79,2,Exploration vs Exploitation pada Markov Decision Processes (MDPs),,
80,2,Pendahuluan Kelas,,
81,2,Pengenalan Klasifikasi Gambar,,
82,2,Memperbarui Model yang Telah Di-deploy,,
83,2,Menggunakan Model untuk Melakukan Prediksi,,
84,2,[Story] Akhir yang Menjadi Awal dari Perjalanan Panjang,,
85,2,Proyek Kedua : Membuat Model Machine Learning dengan Data Time Series,,
86,2,Pengenalan Recurrent Neural Network,,
87,2,Latihan Klasifikasi Gambar,,
88,2,Machine Learning pada Time Series,,
89,2,Data Pipelines dengan TensorFlow Data Services,,
90,2,Kuis Natural Language Processing (NLP) dengan TensorFlow,,
91,2,Pendahuluan Sistem Rekomendasi,,
92,2,Format Penyimpanan Model,,
93,2,Compile dan Fit Model,,
94,2,Pengenalan Natural Language Processing,,
95,2,Ujian Akhir,,
96,2,Pengenalan TensorFlow Lite,,
97,2,Binary vs Multiclass vs Multilabel Classification pada Text,,
98,2,[Story] Awal Bertemu dengan Deep Learning,,
99,2,"[Story] Optimalkan Aksesibilitas, Emangnya Bisa?",,
100,2,Proyek Akhir : Image Classification Model Deployment,,
101,2,Kuis Sistem Rekomendasi,,
102,2,Optimasi Pelatihan Menggunakan Callbacks,,
103,2,Multimodal Model,,
104,2,Metode Markov Decision Process,,
105,2,Kuis Membuat dan Melatih Neural Network dengan TensorFlow dan Keras,,
106,2,Contoh Sederhana Markov Decision Process,,
107,2,Pendahuluan Deep Learning,,
108,2,Dasar-Dasar Convolutional Neural Networks (CNNs),,
109,2,Model Sekuensial dengan Beberapa Layer,,
110,2,Pengenalan Generative AI,,
111,2,Pendahuluan Reinforcement Learning,,
112,2,[Story] Ooh Ini Toh yang Namanya Deep Learning!,,
113,2,Rangkuman Klasifikasi Gambar,,
114,2,Tipe-Tipe Time Series,,
115,2,Export Data ke Training Pipelines,,
116,2,Metrik Evaluasi untuk Time Series,,
117,2,Pengenalan Sistem Rekomendasi,,
118,2,Pengenalan Arsitektur Deep Learning yang Populer,,
119,2,Evaluasi Model,,
120,2,[Story] Siap-Siap!,,
121,2,Latihan: Deploy Model ML Menggunakan TensorFlow Lite,,
122,2,"[Story] Hai, Perkenalkan Ini RNN!",,
123,2,[Story] Tak Kenal Maka Kenalan!,,
124,2,"[Story] TensorFlow, Si Penyelamat ML Engineer",,
125,2,Mekanisme Belajar,,
126,2,Rangkuman Kelas,,
127,2,Menggunakan Dataset dari TensorFlow,,
128,2,Rangkuman The Game Changer: Generative AI,,
129,2,Pendahuluan Konversi Model Machine Learning,,
130,2,Latihan Pra-pemrosesan Teks,,
131,2,Latihan Implementasi Reinforcement Learning,,
132,2,"[Story] Hi, Neural Network!",,
133,2,"[Story] Nice to Meet You, Klasifikasi Gambar",,
134,2,Latihan: Time Series 101,,
135,2,Membuat Model untuk Klasifikasi Dua Kelas,,
136,2,Discriminative AI vs Generative AI,,
137,2,[Story] Time to Play!,,
138,2,Rangkuman Pengenalan Deep Learning,,
139,2,Kuis Klasifikasi Gambar,,
140,2,Data Preprocessing untuk Time Series,,
141,2,Mempublikasi Model Anda ke TF-Hub,,
142,2,Collaborative Filtering,,
143,2,Pengenalan TensorFlow Serving,,
144,2,Penanganan Overfitting dalam Klasifikasi Gambar,,
145,2,Text Preprocessing,,
146,2,Arsitektur Deep Learning,,
147,2,Algoritma RNN (Recurrent Neural Network),,
148,2,[Story] Semakin Tahu Semakin Penasaran,,
149,2,[Story] Akhirnya Bisa Publish!,,
150,2,Forum Diskusi,,
151,2,Pemisahan Data (Data Splitting),,
152,2,Pendahuluan Natural Language Processing (NLP) dengan Tensorflow,,
153,2,Kuis The Game Changer: Generative AI,,
154,2,Pengenalan Deployment,,
155,2,[Story] Ekstraksi Fitur!,,
